image_name,mean,max,min
img_0000,1481.6,2094,807
img_0001,1042.0,1735,775
img_0002,1091.5,1847,766
img_0003,1074.7,1570,743
img_0004,1066.0,1887,692
img_0005,1067.0,1406,654
img_0006,1611.5,4400,935
img_0007,1056.7,1710,711
img_0008,1088.3,2160,765
img_0009,1974.8,4301,567
img_0010,2272.2,11365,718
img_0011,946.1,1215,629
img_0012,1807.3,6040,700
img_0013,1177.7,1660,807
img_0014,1484.6,2258,909
img_0015,880.3,1174,551
img_0016,1026.3,1807,679
img_0017,1279.3,2103,827
img_0018,1352.0,2255,775
img_0019,1360.0,2175,950
img_0020,1029.0,1533,705
img_0021,974.1,1399,759
img_0022,1221.0,2058,727
img_0023,1047.9,1358,791
img_0024,1612.9,6757,719
img_0025,1381.5,2272,1048
img_0026,1084.9,2293,750
img_0027,1070.3,1477,726
img_0028,1943.0,7354,919
img_0029,1049.9,1729,710
img_0030,1127.8,2311,743
img_0031,974.1,1208,816
img_0032,2028.6,10226,593
img_0033,1906.9,2815,1227
img_0034,1304.8,1836,982
img_0035,1044.7,1407,663
img_0036,1311.6,2253,805
img_0037,1271.1,2247,841
img_0038,2059.7,8487,714
img_0039,1693.3,4129,731
img_0040,1064.7,1973,685
img_0041,1007.2,1574,654
img_0042,1627.1,5398,972
img_0043,1039.3,1437,703
img_0044,1084.2,1726,862
img_0045,1211.7,2662,854
img_0046,1038.7,1845,703
img_0047,941.0,1485,615
img_0048,1019.3,1479,732
img_0049,1134.4,2830,771
img_0050,1023.5,1382,687
img_0051,1762.7,2686,998
img_0052,1928.2,10152,629
img_0053,3194.4,10652,840
img_0054,1135.1,1727,767
img_0055,1138.6,1746,638
img_0056,1102.6,1780,783
img_0057,1334.6,2036,790
img_0058,1014.0,1263,772
img_0059,1208.6,2776,815
img_0060,1214.8,2095,678
img_0061,1487.4,2263,871
img_0062,1552.5,6498,632
img_0063,1412.8,3927,791
img_0064,1098.4,1409,718
img_0065,1138.3,3303,755
img_0066,1173.0,2695,638
img_0067,1337.8,2055,791
img_0068,897.2,1327,575
img_0069,957.3,1383,758
img_0070,1248.5,2158,917
img_0071,1444.1,1845,943
img_0072,1659.6,2741,844
img_0073,1354.5,2470,1007
img_0074,2094.5,3728,1219
img_0075,1065.9,1342,735
img_0076,1190.5,2285,766
img_0077,1731.7,7000,815
img_0078,1124.6,2021,702
img_0079,2278.3,9800,710
img_0080,1597.3,6286,758
img_0081,1156.7,1830,885
img_0082,1374.5,2645,823
img_0083,1171.8,1775,750
img_0084,1507.0,3928,838
img_0085,2065.0,11595,735
img_0086,1648.4,4816,717
img_0087,1116.2,1550,807
img_0088,1089.8,2126,677
img_0089,1285.3,3367,701
img_0090,2619.7,9592,638
img_0091,1970.6,9189,767
img_0092,1402.8,3660,686
img_0093,1461.2,3656,647
img_0094,1019.8,1160,806
img_0095,1139.3,2414,824
img_0096,907.8,1183,670
img_0097,972.2,1327,717
img_0098,1232.1,1535,960
img_0099,956.8,1293,727
img_0100,890.4,1199,674
img_0101,913.7,1251,608
img_0102,1559.2,4171,935
img_0103,1157.7,1415,916
img_0104,1344.8,3280,783
img_0105,1048.8,1449,788
img_0106,936.2,1254,679
img_0107,1259.0,2101,635
img_0108,1073.7,2975,591
img_0109,1207.3,2167,695
img_0110,853.2,1296,646
img_0111,1301.5,2158,751
img_0112,945.1,1455,728
img_0113,2022.3,7812,871
img_0114,1449.1,4659,693
img_0115,1741.1,2943,1095
img_0116,1053.5,1613,743
img_0117,1525.5,3967,727
img_0118,1096.9,1584,710
img_0119,1002.9,1305,659
img_0120,880.5,1142,718
img_0121,1236.7,2228,742
img_0122,1585.2,6057,722
img_0123,1272.9,2789,559
img_0124,3839.0,20936,1134
img_0125,1612.9,4592,741
img_0126,1929.1,3496,1159
img_0127,1431.4,3136,606
img_0128,941.4,1310,608
img_0129,1348.6,3423,840
img_0130,1831.3,6377,735
img_0131,1228.5,2315,639
img_0132,1223.5,2509,702
img_0133,2365.9,9592,1171
img_0134,1128.0,1806,639
img_0135,1883.5,6899,895
img_0136,1401.6,4215,919
img_0137,1457.1,4519,768
img_0138,1172.2,1843,806
img_0139,994.9,1478,778
img_0140,1036.9,1497,663
img_0141,1108.2,1426,814
img_0142,1400.2,2979,734
img_0143,1149.6,2395,718
img_0144,882.7,1211,605
img_0145,1637.9,4507,886
img_0146,1342.4,3265,639
img_0147,1208.1,1910,760
img_0148,975.2,1278,719
img_0149,943.6,1730,561
img_0150,1241.3,1790,722
img_0151,1551.4,6696,607
img_0152,1571.4,4926,723
img_0153,1270.5,2298,684
img_0154,1376.9,5207,694
img_0155,983.3,1526,743
img_0156,1344.7,2277,915
img_0157,1744.4,5511,999
img_0158,1355.7,3403,679
img_0159,1006.8,1248,724
img_0160,2105.9,7988,1039
img_0161,1087.4,2005,774
img_0162,932.7,1175,743
img_0163,1106.3,2368,583
img_0164,966.4,1467,631
img_0165,1080.0,1418,776
img_0166,1021.6,1295,822
img_0167,1231.9,2380,879
img_0168,1218.6,1614,903
img_0169,1195.6,1871,730
img_0170,2238.4,11749,925
img_0171,907.8,1165,590
img_0172,1135.1,1806,887
img_0173,1873.4,7408,735
img_0174,1214.2,2214,782
img_0175,1364.2,2695,487
img_0176,1302.6,2520,663
img_0177,1262.4,2298,733
img_0178,1054.9,1287,856
img_0179,4627.3,27727,727
img_0180,962.8,1335,734
img_0181,1444.4,2190,883
img_0182,1667.9,5392,791
img_0183,1155.4,2696,631
img_0184,1356.2,2626,1015
img_0185,1297.9,1758,879
img_0186,1178.9,1383,783
img_0187,1087.4,1638,573
img_0188,1622.7,3626,1135
img_0189,1962.0,6433,870
img_0190,1312.4,1655,783
img_0191,1023.3,1455,686
img_0192,1155.0,2391,822
img_0193,1496.9,3050,878
img_0194,2865.0,20060,727
img_0195,1055.9,1962,742
img_0196,1052.5,1668,813
img_0197,1453.4,5853,638
img_0198,1107.3,1758,751
img_0199,1320.8,1981,863
img_0200,1157.9,1608,957
img_0201,1388.0,2206,1007
img_0202,1095.9,1727,583
img_0203,956.0,1208,759
img_0204,905.6,1174,607
img_0205,3527.1,23037,646
img_0206,1348.8,1815,884
img_0207,1263.5,2648,710
img_0208,1084.9,1317,855
img_0209,1339.7,2376,1047
img_0210,991.2,1480,668
img_0211,1563.4,3233,755
img_0212,1559.2,3718,1014
img_0213,929.0,1550,606
img_0214,1003.7,1248,662
img_0215,1031.6,1550,685
img_0216,1097.4,1467,687
img_0217,1257.3,2228,863
img_0218,2088.0,10562,718
img_0219,1587.8,2944,861
img_0220,1361.8,2950,774
img_0221,1048.7,1397,714
img_0222,1121.1,1910,860
img_0223,1008.7,1303,743
img_0224,1148.8,2406,727
img_0225,1227.3,1618,598
img_0226,1370.7,3122,760
img_0227,1200.4,1879,815
img_0228,1393.9,4797,719
img_0229,1449.7,2582,878
img_0230,1115.2,3169,535
img_0231,1328.0,3593,752
img_0232,1102.4,1667,791
img_0233,1006.1,1295,582
img_0234,1034.1,1422,647
img_0235,1217.1,1531,855
img_0236,1401.5,3214,694
