vendor_user_id,mean,max,min
annotator_01,1077.3234375,5120,526
annotator_02,1178.1700895208005,24856,447
annotator_03,1460.2492063492064,24190,503
annotator_04,1113.926958417692,19158,10
annotator_05,1562.0892086330934,23037,263
annotator_06,1496.9402173913043,42398,615
annotator_07,1578.3622988505747,27727,525
annotator_08,1434.702111383109,33326,166
annotator_09,1198.8141975308642,37428,534
annotator_10,1252.974603174603,37995,472
annotator_11,1279.9106587942822,41703,302
annotator_12,1306.3054750402578,31780,149
annotator_13,1155.0111613450126,24000,470
annotator_14,1594.9089855072464,25488,444
annotator_15,1365.2917214191853,28760,231
annotator_16,1269.7931238885596,35880,575
annotator_17,991.8863701578192,13233,421
annotator_18,1592.8802244582043,34207,558
annotator_19,1687.7757575757576,15414,599
annotator_20,1173.149200130591,10971,61
annotator_21,1238.9223728813558,13238,279
annotator_22,879.4349570200573,40866,270
