vendor_user_id,correct,incorrect,null,total,correct_p,incorrect_p,null_p
annotator_01,1214,66,0,1280,94.84375,5.15625,0.0
annotator_02,7101,493,2,7596,93.48341232227489,6.490258030542391,0.02632964718272775
annotator_03,585,45,0,630,92.85714285714286,7.142857142857142,0.0
annotator_04,5960,457,4,6421,92.82043295436848,7.117271453044697,0.06229559258682448
annotator_05,3256,219,0,3475,93.6978417266187,6.302158273381295,0.0
annotator_06,4945,391,1,5337,92.6550496533633,7.3262132284054715,0.01873711823121604
annotator_07,1990,184,1,2175,91.49425287356323,8.459770114942529,0.04597701149425287
annotator_08,5878,656,3,6537,89.9189230533884,10.035184335322013,0.04589261128958238
annotator_09,4536,324,0,4860,93.33333333333333,6.666666666666667,0.0
annotator_10,280,35,0,315,88.88888888888889,11.11111111111111,0.0
annotator_11,6026,409,1,6436,93.62958359229336,6.354878806712244,0.015537600994406462
annotator_12,5774,436,0,6210,92.97906602254429,7.020933977455717,0.0
annotator_13,6702,376,0,7078,94.68776490534049,5.312235094659509,0.0
annotator_14,1633,91,1,1725,94.66666666666667,5.27536231884058,0.057971014492753624
annotator_15,5774,314,0,6088,94.84231274638634,5.157687253613666,0.0
annotator_16,4769,292,0,5061,94.23038925113613,5.769610748863861,0.0
annotator_17,3283,202,0,3485,94.20373027259684,5.796269727403156,0.0
annotator_18,4841,326,3,5170,93.63636363636364,6.3056092843326885,0.058027079303675046
annotator_19,161,9,0,170,94.70588235294117,5.294117647058823,0.0
annotator_20,5809,316,1,6126,94.82533463924257,5.158341495266079,0.01632386549134835
annotator_21,2773,177,0,2950,94.0,6.0,0.0
annotator_22,1644,97,4,1745,94.21203438395416,5.558739255014326,0.2292263610315186
